Date,Time,Account,AccountGroup,AccountType,CardLast4,SettlementDate,PaymentDueDays,AccountOrder,AccountGroupOrder,FromAccount,FromAccountGroup,FromAccountOrder,ToAccount,ToAccountGroup,ToAccountOrder,Category,Subcategory,Note,Description,INR,Amount,Currency,Income/Expense,Tags,recurring_rule_id,warranty_expiry,serial_no,receipt_image,created_at,updated_at,ID,SubAccount,FromSubAccount,ToSubAccount,InvestmentTransactionType,Brokerage,SecuritySymbol,SecurityISIN,Quantity,UnitPrice,TradeValue,CostBasis,CashImpact,PositionQuantityChange,RealizedPnl,TradeId,OrderId,Exchange,Segment,Source
01/11/2026,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself(6/11),Vi 1 year unlimited 3749,312,312.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,ec6bfc4b-8526-4ca8-9ae8-9085bd6aacaf,,,,,,,,,,,,,,,,,,,
28/10/2026,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(5/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,4e0c5d34-ba18-45f6-9edb-b0ebda0c2e6e,,,,,,,,,,,,,,,,,,,
17/10/2026,12:52,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,Medical Insurance(12/12),"Care Health Insurance 49226979: @21224 without GST 

27-11-2025:26-11-2026",1769,1769.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,28e1fcc3-26f8-474c-a28a-91533e90ebcc,,,,,,,,,,,,,,,,,,,
16/10/2026,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(16/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,21b4d1bf-5cbb-46fa-be90-f67cb938edb6,,,,,,,,,,,,,,,,,,,
14/10/2026,11:10,Stock,Bank Accounts,,,,,8,1,Stock,Bank Accounts,8,,,,Self Development,,Scalp care(6/6),Sebamed anti hair fall shampoo 400ml: 950: @828,138,138.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:18:02.342Z,bbccef9f-7cb0-4b6c-85d4-70d587f67ba4,,,,,,,,,,,,,,,,,,,
13/10/2026,11:12,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to mom(9/12),Vi app with 3499 -50 -50: 3399,283,283.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,a8851e11-c63a-4dba-a4dc-409ea3c2faf7,,,,,,,,,,,,,,,,,,,
10/10/2026,21:14,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,Lend,Cash,34,Lend,,to chota mamu,"With 1928: 6 months

321*6 + 161 CB 

Valid till 04/02/27",321,321.0,INR,Transfer-Out,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,dd044660-6d91-47df-83ae-a17c1e9fec2c,,,,,,,,,,,,,,,,,,,
05/10/2026,14:09,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(7/12),"Amazon 

RO Kit 1329: @1214",101,101.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,b0b04397-0aa0-475b-b72d-91724875f373,,,,,,,,,,,,,,,,,,,
03/10/2026,10:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs (6/10),"Anchor Stand Fan, Shafi Traders, PMT

4500: 2500 + 2000 (Arshad)",250,250.0,INR,Expense,#home-appliance,16b80b09-67ca-4504-b101-2a7336bd9dca,,,,2026-08-10T10:33:43.572Z,2026-08-10T10:33:43.572Z,a35e06cd-dd85-4ddf-845f-fa8490e1eda7,,,,,,,,,,,,,,,,,,,
01/10/2026,19:28,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to father (3/3),With 799,286,286.0,INR,Expense,"#family, #family-recharge",18180b2a-b8c7-45fc-ab86-9be22d08edfc,,,,2026-08-08T16:35:32.246Z,2026-08-08T16:36:01.602Z,a12617ba-0e2c-4707-b421-e90c9cdf4c8d,,,,,,,,,,,,,,,,,,,
01/10/2026,13:02,Stock,Bank Accounts,,,,,8,1,Stock,Bank Accounts,8,,,,To Home,Groceries,groceries(8/9),"Pestro floor cleaner 3L, 26/09",21,21.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,a6df624d-3f12-4942-9cb4-e19850f6e2de,,,,,,,,,,,,,,,,,,,
01/10/2026,10:33,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Dish Bill,Home DTH bill(4/6),Tata play app 6 months+ 15 days free,325,325.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,7ee7c985-7c12-4a3e-a762-26b00a6db48f,,,,,,,,,,,,,,,,,,,
01/10/2026,00:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Recharge,,data pack for myself(5/11),Vi 1 year unlimited 3749,312,312.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,8d5de728-d447-43b5-81d7-69d44263e102,,,,,,,,,,,,,,,,,,,
28/09/2026,02:26,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to fareeda(4/12),"Vi with 3699, 75 coupon: @3624

1 year 2GB/day, Jio Hotstar",302,302.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,44619b59-cbcb-42f5-9b1b-7c67274e0d80,,,,,,,,,,,,,,,,,,,
24/09/2026,21:14,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,Lend,Cash,34,Lend,,to chota mamu,"With 1928: 6 months

321*6 + 161 CB 

Valid till 04/02/27",322,322.0,INR,Transfer-Out,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,b5738811-573c-461d-8b1b-bdf133b66fc4,,,,,,,,,,,,,,,,,,,
19/09/2026,20:00,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Groceries,groceries (2/2),Vijay,2250,2250.0,INR,Expense,,0688af1c-9027-43b2-9a1f-16c52121c40e,,,,2026-08-19T14:59:47.631Z,2026-08-19T14:59:47.631Z,e4aa63fe-0f7c-45c7-888e-4e752c98498b,,,,,,,,,,,,,,,,,,,
17/09/2026,12:52,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,Medical Insurance(11/12),"Care Health Insurance 49226979: @21224 without GST 

27-11-2025:26-11-2026",1769,1769.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,c4e00185-89d3-42e8-be6e-63d9e7219e5c,,,,,,,,,,,,,,,,,,,
16/09/2026,00:08,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(15/23),"Flipkart 

Prohome Ladder 6': 2300",100,100.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,690597db-6d98-46fc-98b4-e1a67ead8a2f,,,,,,,,,,,,,,,,,,,
14/09/2026,11:10,Stock,Bank Accounts,,,,,8,1,Stock,Bank Accounts,8,,,,Self Development,,Scalp care(5/6),Sebamed anti hair fall shampoo 400ml: 950: @828,138,138.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:18:02.345Z,81fcce80-52c1-4c17-b22e-7e6770b92d48,,,,,,,,,,,,,,,,,,,
13/09/2026,11:12,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,House Members,recharge to mom(8/12),Vi app with 3499 -50 -50: 3399,283,283.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,a6218485-febd-4866-ac11-ac7923733b60,,,,,,,,,,,,,,,,,,,
10/09/2026,19:32,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,Online Shopping,For Myself,Scalp care (3/3),"Ketokem 110ml: @145



Truemeds",49,49.0,INR,Expense,,26e02979-fedd-4e68-9cc1-6482aeef3e02,,,,2026-08-02T14:04:01.537Z,2026-08-02T14:04:45.891Z,d26af050-e785-4136-8266-5aa1bb6da3de,,,,,,,,,,,,,,,,,,,
05/09/2026,14:09,Installments,Digital Wallets,,,,,21,3,Installments,Digital Wallets,21,,,,To Home,Home Needs,home needs(6/12),"Amazon 

RO Kit 1329: @1214",101,101.0,INR,Expense,,,,,,2026-08-02T10:06:53.982Z,2026-08-02T10:06:53.982Z,2f9c41e1-b093-436b-8917-5c33dbcc8196,,,,,,,,,,,,,,,,,,,
05/09/2026,13:00,ICICI Credit,Credit Cards,Credit Card,4000.0,12,17,13,2,ICICI Credit,Credit Cards,13,,,,To Home,Baby,baby schooling,Pad,55,55,INR,Expense,,,,,,2026-09-05T07:55:05.803Z,2026-09-05T07:55:05.803Z,f99c70b6-9ce8-4d46-9958-781524a23fa1,,,,,,,,,,,,,,,,,,,
05/09/2026,11:55,ICICI Credit,Credit Cards,Credit Card,4000.0,12,17,13,2,ICICI Credit,Credit Cards,13,,,,To Home,Groceries,groceries,,85,85,INR,Expense,,,,,,2026-09-05T07:08:02.830Z,2026-09-05T07:08:02.830Z,fdee24cd-d8c2-4b0f-b5bc-ade6e6ac95dc,,,,,,,,,,,,,,,,,,,
05/09/2026,11:55,ICICI Credit,Credit Cards,Credit Card,4000.0,12,17,13,2,ICICI Credit,Credit Cards,13,,,,To Home,Home Needs,home expenses,,30,30,INR,Expense,,,,,,2026-09-05T07:08:02.821Z,2026-09-05T07:08:02.821Z,7d81feca-195b-473a-9c5b-aa2bcac6cf86,,,,,,,,,,,,,,,,,,,
05/09/2026,00:26,Canara,Bank Accounts,,6603.0,,,7,1,Canara,Bank Accounts,7,,,,Cash Back,,stock profit,Choti mami,88,88,INR,Income,,,,,,2026-09-05T03:47:09.055Z,2026-09-05T03:47:09.055Z,b9b8de82-5d91-4179-83e1-74972ab2ec0c,,,,,,,,,,,,,,,,,,,
05/09/2026,00:26,Lend,Cash,,,,,34,0,Lend,Cash,34,Canara,Bank Accounts,7,Canara,,from chota mamu,,1132,1132,INR,Transfer-Out,,,,,,2026-09-05T03:46:55.329Z,2026-09-05T03:46:55.329Z,7afc64ce-2edf-4b33-b312-21f11ea095f2,,,,,,,,,,,,,,,,,,,
05/09/2026,00:26,Lend,Cash,,,,,34,0,Lend,Cash,34,Canara,Bank Accounts,7,Canara,,from chota mamu,,321,321,INR,Transfer-Out,,,,,,2026-09-05T03:46:17.865Z,2026-09-05T03:46:17.865Z,94519817-0d96-4b64-9ec6-a2b9435eb53a,,,,,,,,,,,,,,,,,,,
05/09/2026,00:26,Lend,Cash,,,,,34,0,Lend,Cash,34,Canara,Bank Accounts,7,Canara,,From Choti mami,,1136,1136,INR,Transfer-Out,,,,,,2026-09-05T03:45:58.416Z,2026-09-05T03:45:58.416Z,18aeebcd-f2f4-473d-998b-98f445820b29,,,,,,,,,,,,,,,,,,,
04/09/2026,10:00,Canara,Bank Accounts,,6603.0,,,7,1,Canara,Bank Accounts,7,Share Market,Investments,0,Share Market,,ESDD Software Solun,"ESDS Software Solun IPO allotted. 34 Shares Price 429
Fareeda Groww
Sold with 862.4: 29321-72: @29249-14586: 14663 profit",14586,14586,INR,Transfer-Out,,,,,,2026-09-04T07:20:21.752Z,2026-09-04T07:20:21.752Z,93dac487-2ffd-4763-819d-f1cf01bc3d08,,,Fareeda Groww,,,,,,,,,,,,,,,,
04/09/2026,,Share Market,Investments,,,,,0,4,Share Market,Investments,0,,,,,,ESDD Software Solun,ESDS Software Solutions IPO — 34 @ ₹429 — Fareeda Groww,14586,14586,INR,Transfer-Out,,,,,,2026-09-05T16:06:21.142Z,2026-09-05T16:06:21.142Z,78d887a8-a6cb-6ed5-172f-19293c03fa80,,Fareeda Groww,Fareeda Groww,BUY,Fareeda Groww,ESDS SOFTWARE SOLUN,,34,429,14586,14586,-14586,0,0,,,,,
